Macrotrends Data Download,,
,,
Texas Murder/Homicide Rate 1979-2018,,
Original Source: FBI - Crime in the U.S.,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
"Interactive chart of the Texas murder rate (i.e. the number of homicides per 100,000 population) from 1979 to 2018.",,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date, TX, US
12/31/1979,16.6978,9.7502
12/31/1980,16.8809,10.2241
12/31/1981,16.5774,9.8141
12/31/1982,16.1387,9.0692
12/31/1983,14.2394,8.2586
12/31/1984,13.0902,7.9262
12/31/1985,13.0238,7.9757
12/31/1986,13.5355,8.584
12/31/1987,11.6684,8.2942
12/31/1988,12.0501,8.4561
12/31/1989,11.9416,8.7108
12/31/1990,14.0641,9.3953
12/31/1991,15.2862,9.7968
12/31/1992,12.6812,9.3166
12/31/1993,11.9073,9.5142
12/31/1994,11.0023,8.9603
12/31/1995,9.0419,8.2214
12/31/1996,7.7217,7.4068
12/31/1997,6.8265,6.8006
12/31/1998,6.8117,6.2809
12/31/1999,6.0716,5.6922
12/31/2000,5.9371,5.5383
12/31/2001,6.2328,5.6208
12/31/2002,5.9898,5.6356
12/31/2003,6.4334,5.6838
12/31/2004,6.0699,5.4989
12/31/2005,6.1365,5.6457
12/31/2006,5.8959,5.7813
12/31/2007,5.9362,5.6786
12/31/2008,5.6316,5.4151
12/31/2009,5.3667,5.0159
12/31/2010,4.9459,4.7593
12/31/2011,4.4086,4.7053
12/31/2012,4.4051,4.7331
12/31/2013,4.301,4.5242
12/31/2014,4.4182,4.4414
12/31/2015,4.8014,4.9496
12/31/2016,5.2966,5.3843
12/31/2017,4.9607,5.3188
12/31/2018,4.606,4.9559
